Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,MH_Care_Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,With disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,41.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,Without disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,8.4,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,45,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.4,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,With disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.2,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,Without disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,7.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,With disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,45.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,Without disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,17.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21.1,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,8.6,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,49,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21.2,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,With disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.3,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,Without disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,7.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,With disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,41.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,Without disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.9,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8.5,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,45.8,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,21,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,With disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.7,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,Without disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,With disability,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,42.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,Without disability,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,18.2,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,18.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.8,,,,,
