Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,MH_Care_Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,32.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,20.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,42,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,18.7,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,9.3,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,26.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,36.9,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,24,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,49.5,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,9.7,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,27.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,32.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,20.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,37.8,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,19.4,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,8.6,,,,,
"Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,28.3,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,38.2,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,24,,,,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,47.1,,,,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,20.7,,,,,
