Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,MH_Care_Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.3,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,26.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.6,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.7,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.5,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.8,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.4,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.2,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.9,,,,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.9,,,,,
